tiempo,temp1,temp2,temp3,temp4,temp5,temp6
0,951.1,949.4,950.3,950.5,950,950
0.2,939.2,947.5,949.2,949.8,949.6,949.9
0.4,927.1,945.5,948.1,949.4,949.1,949.5
0.6,915,943.8,947.1,948.8,948.8,949.1
0.8,902.7,941.8,946,948.4,948.5,948.9
1,890.5,940,944.8,947.8,948,948.5
1.2,878.6,938.2,943.9,947.2,947.7,948.3
1.4,866.5,936.4,942.9,946.8,947.3,947.9
1.6,854.9,934.5,941.7,946.1,946.9,947.6
1.8,843.4,932.6,940.8,945.4,946.7,947.4
2,832.5,930.8,939.8,945.1,946.3,947.1
2.2,821.4,929,938.7,944.4,945.7,946.9
2.4,810.8,927.2,937.6,943.8,945.4,946.7
2.6,800.6,925.4,936.5,943.3,945.1,946.2
2.8,790.7,923.6,935.5,942.9,944.7,946
3,781.2,921.7,934.4,942.4,944.5,945.7
3.2,772,920.1,933.4,941.9,944,945.5
3.4,763.2,918.2,932.5,941.3,943.7,945.1
3.6,754.8,916.5,931.3,940.6,943.4,944.9
3.8,746.5,914.7,930.2,940.1,942.9,944.5
4,738.7,912.9,929.4,939.6,942.5,944.3
4.2,731.2,911.2,928.1,939,942.1,944.1
4.4,723.8,909.3,927.1,938.5,941.7,943.8
4.6,716.8,907.6,925.9,938,941.4,943.5
4.8,710.1,906,924.9,937.4,941.2,943.2
5,703.6,904.2,923.9,936.9,940.7,942.8
5.2,697.4,902.5,922.9,936.4,940.4,942.5
5.4,691.2,900.7,921.9,935.9,939.9,942.3
5.6,684.9,899.2,920.9,935.4,939.6,942
5.8,678.9,897.5,919.9,934.9,939.1,941.8
6,673.4,896,918.9,934.4,938.8,941.5
6.2,668.4,894.3,917.8,933.8,938.5,941.2
6.4,663.5,892.7,916.7,933.3,938.2,940.9
6.6,658.8,891.2,915.8,932.7,937.9,940.5
6.8,654.5,889.3,914.7,932.2,937.6,940.3
7,650.2,888,913.8,931.8,937.4,940
7.2,646,886.4,912.8,931.2,936.9,939.7
7.4,642.1,884.8,911.8,930.8,936.5,939.4
7.6,638.3,883.3,910.8,930.3,936.4,939.3
7.8,634.6,881.8,909.8,929.7,935.9,938.9
8,631,880.5,908.9,929.2,935.5,938.5
8.2,627.8,878.9,907.9,928.7,935.3,938.4
8.4,624.3,877.4,906.9,928.2,934.9,938.1
8.6,621.3,875.9,906,927.7,934.5,937.7
8.8,618.2,874.3,905,927.2,934.3,937.5
9,615.1,872.7,904.1,926.9,934,937.3
9.2,612.4,871.2,903.1,926.2,933.6,937
9.4,609.4,869.6,902,925.8,933.3,936.7
9.6,606.7,868.1,901.3,925.4,933,936.5
9.8,604,866.4,900.4,924.9,932.7,936.2
10,601.1,864.8,899.4,924.3,932.3,935.9
10.2,598.6,863.1,898.5,923.9,932,935.6
10.4,596,861.5,897.6,923.3,931.8,935.4
10.6,593.3,859.8,896.6,922.9,931.4,935
10.8,590.5,858,895.8,922.5,931.2,934.9
11,588,856.4,895,921.8,930.8,934.6
11.2,585.3,854.6,894.1,921.5,930.4,934.3
11.4,582.9,852.9,893.2,921.1,930.3,934
11.6,580.2,851.2,892.4,920.6,929.8,933.7
11.8,577.6,849.5,891.5,920.2,929.6,933.4
12,574.9,847.7,890.5,919.6,929.2,933.2
12.2,572.5,846.1,889.8,919.1,928.9,932.9
12.4,570,844.1,888.9,918.8,928.5,932.5
12.6,567.5,842.5,888.1,918.3,928.3,932.3
12.8,565.1,840.7,887.3,917.7,928,931.9
13,562.5,839,886.5,917.3,927.7,931.9
