grado_celcius,grado_fahrenheit,grado_kelvin
-100000,-179968,-99726.85
-99995,-179959,-99721.85
-99990,-179950,-99716.85
-99985,-179941,-99711.85
-99980,-179932,-99706.85
-99975,-179923,-99701.85
-99970,-179914,-99696.85
-99965,-179905,-99691.85
-99960,-179896,-99686.85
-99955,-179887,-99681.85
-99950,-179878,-99676.85
-99945,-179869,-99671.85
-99940,-179860,-99666.85
-99935,-179851,-99661.85
-99930,-179842,-99656.85
-99925,-179833,-99651.85
-99920,-179824,-99646.85
-99915,-179815,-99641.85
-99910,-179806,-99636.85
-99905,-179797,-99631.85
-99900,-179788,-99626.85
-99895,-179779,-99621.85
-99890,-179770,-99616.85
-99885,-179761,-99611.85
-99880,-179752,-99606.85
-99875,-179743,-99601.85
-99870,-179734,-99596.85
-99865,-179725,-99591.85
-99860,-179716,-99586.85
-99855,-179707,-99581.85
-99850,-179698,-99576.85
-99845,-179689,-99571.85
-99840,-179680,-99566.85
-99835,-179671,-99561.85
-99830,-179662,-99556.85
-99825,-179653,-99551.85
-99820,-179644,-99546.85
-99815,-179635,-99541.85
-99810,-179626,-99536.85
-99805,-179617,-99531.85
-99800,-179608,-99526.85
-99795,-179599,-99521.85
-99790,-179590,-99516.85
-99785,-179581,-99511.85
-99780,-179572,-99506.85
-99775,-179563,-99501.85
-99770,-179554,-99496.85
-99765,-179545,-99491.85
-99760,-179536,-99486.85
-99755,-179527,-99481.85
-99750,-179518,-99476.85
-99745,-179509,-99471.85
-99740,-179500,-99466.85
-99735,-179491,-99461.85
-99730,-179482,-99456.85
-99725,-179473,-99451.85
-99720,-179464,-99446.85
-99715,-179455,-99441.85
-99710,-179446,-99436.85
-99705,-179437,-99431.85
-99700,-179428,-99426.85
-99695,-179419,-99421.85
-99690,-179410,-99416.85
-99685,-179401,-99411.85
-99680,-179392,-99406.85
-99675,-179383,-99401.85
-99670,-179374,-99396.85
-99665,-179365,-99391.85
-99660,-179356,-99386.85
-99655,-179347,-99381.85
-99650,-179338,-99376.85
-99645,-179329,-99371.85
-99640,-179320,-99366.85
-99635,-179311,-99361.85
-99630,-179302,-99356.85
-99625,-179293,-99351.85
-99620,-179284,-99346.85
-99615,-179275,-99341.85
-99610,-179266,-99336.85
-99605,-179257,-99331.85
-99600,-179248,-99326.85
-99595,-179239,-99321.85
-99590,-179230,-99316.85
-99585,-179221,-99311.85
-99580,-179212,-99306.85
-99575,-179203,-99301.85
-99570,-179194,-99296.85
-99565,-179185,-99291.85
-99560,-179176,-99286.85
-99555,-179167,-99281.85
-99550,-179158,-99276.85
-99545,-179149,-99271.85
-99540,-179140,-99266.85
-99535,-179131,-99261.85
-99530,-179122,-99256.85
-99525,-179113,-99251.85
-99520,-179104,-99246.85
-99515,-179095,-99241.85
-99510,-179086,-99236.85
-99505,-179077,-99231.85
-99500,-179068,-99226.85
-99495,-179059,-99221.85
-99490,-179050,-99216.85
-99485,-179041,-99211.85
-99480,-179032,-99206.85
-99475,-179023,-99201.85
-99470,-179014,-99196.85
-99465,-179005,-99191.85
-99460,-178996,-99186.85
-99455,-178987,-99181.85
-99450,-178978,-99176.85
-99445,-178969,-99171.85
-99440,-178960,-99166.85
-99435,-178951,-99161.85
-99430,-178942,-99156.85
-99425,-178933,-99151.85
-99420,-178924,-99146.85
-99415,-178915,-99141.85
-99410,-178906,-99136.85
-99405,-178897,-99131.85
-99400,-178888,-99126.85
-99395,-178879,-99121.85
-99390,-178870,-99116.85
-99385,-178861,-99111.85
-99380,-178852,-99106.85
-99375,-178843,-99101.85
-99370,-178834,-99096.85
-99365,-178825,-99091.85
-99360,-178816,-99086.85
-99355,-178807,-99081.85
-99350,-178798,-99076.85
-99345,-178789,-99071.85
-99340,-178780,-99066.85
-99335,-178771,-99061.85
-99330,-178762,-99056.85
-99325,-178753,-99051.85
-99320,-178744,-99046.85
-99315,-178735,-99041.85
-99310,-178726,-99036.85
-99305,-178717,-99031.85
-99300,-178708,-99026.85
-99295,-178699,-99021.85
-99290,-178690,-99016.85
-99285,-178681,-99011.85
-99280,-178672,-99006.85
-99275,-178663,-99001.85
-99270,-178654,-98996.85
-99265,-178645,-98991.85
-99260,-178636,-98986.85
-99255,-178627,-98981.85
-99250,-178618,-98976.85
-99245,-178609,-98971.85
-99240,-178600,-98966.85
-99235,-178591,-98961.85
-99230,-178582,-98956.85
-99225,-178573,-98951.85
-99220,-178564,-98946.85
-99215,-178555,-98941.85
-99210,-178546,-98936.85
-99205,-178537,-98931.85
-99200,-178528,-98926.85
-99195,-178519,-98921.85
-99190,-178510,-98916.85
-99185,-178501,-98911.85
-99180,-178492,-98906.85
-99175,-178483,-98901.85
-99170,-178474,-98896.85
-99165,-178465,-98891.85
-99160,-178456,-98886.85
-99155,-178447,-98881.85
-99150,-178438,-98876.85
-99145,-178429,-98871.85
-99140,-178420,-98866.85
-99135,-178411,-98861.85
-99130,-178402,-98856.85
-99125,-178393,-98851.85
-99120,-178384,-98846.85
-99115,-178375,-98841.85
-99110,-178366,-98836.85
-99105,-178357,-98831.85
-99100,-178348,-98826.85
-99095,-178339,-98821.85
-99090,-178330,-98816.85
-99085,-178321,-98811.85
-99080,-178312,-98806.85
-99075,-178303,-98801.85
-99070,-178294,-98796.85
-99065,-178285,-98791.85
-99060,-178276,-98786.85
-99055,-178267,-98781.85
-99050,-178258,-98776.85
-99045,-178249,-98771.85
-99040,-178240,-98766.85
-99035,-178231,-98761.85
-99030,-178222,-98756.85
-99025,-178213,-98751.85
-99020,-178204,-98746.85
-99015,-178195,-98741.85
-99010,-178186,-98736.85
-99005,-178177,-98731.85
-99000,-178168,-98726.85
-98995,-178159,-98721.85
-98990,-178150,-98716.85
-98985,-178141,-98711.85
-98980,-178132,-98706.85
-98975,-178123,-98701.85
-98970,-178114,-98696.85
-98965,-178105,-98691.85
-98960,-178096,-98686.85
-98955,-178087,-98681.85
-98950,-178078,-98676.85
-98945,-178069,-98671.85
-98940,-178060,-98666.85
-98935,-178051,-98661.85
-98930,-178042,-98656.85
-98925,-178033,-98651.85
-98920,-178024,-98646.85
-98915,-178015,-98641.85
-98910,-178006,-98636.85
-98905,-177997,-98631.85
-98900,-177988,-98626.85
-98895,-177979,-98621.85
-98890,-177970,-98616.85
-98885,-177961,-98611.85
-98880,-177952,-98606.85
-98875,-177943,-98601.85
-98870,-177934,-98596.85
-98865,-177925,-98591.85
-98860,-177916,-98586.85
-98855,-177907,-98581.85
-98850,-177898,-98576.85
-98845,-177889,-98571.85
-98840,-177880,-98566.85
-98835,-177871,-98561.85
-98830,-177862,-98556.85
-98825,-177853,-98551.85
-98820,-177844,-98546.85
-98815,-177835,-98541.85
-98810,-177826,-98536.85
-98805,-177817,-98531.85
-98800,-177808,-98526.85
-98795,-177799,-98521.85
-98790,-177790,-98516.85
-98785,-177781,-98511.85
-98780,-177772,-98506.85
-98775,-177763,-98501.85
-98770,-177754,-98496.85
-98765,-177745,-98491.85
-98760,-177736,-98486.85
-98755,-177727,-98481.85
-98750,-177718,-98476.85
-98745,-177709,-98471.85
-98740,-177700,-98466.85
-98735,-177691,-98461.85
-98730,-177682,-98456.85
-98725,-177673,-98451.85
-98720,-177664,-98446.85
-98715,-177655,-98441.85
-98710,-177646,-98436.85
-98705,-177637,-98431.85
-98700,-177628,-98426.85
-98695,-177619,-98421.85
-98690,-177610,-98416.85
-98685,-177601,-98411.85
-98680,-177592,-98406.85
-98675,-177583,-98401.85
-98670,-177574,-98396.85
-98665,-177565,-98391.85
-98660,-177556,-98386.85
-98655,-177547,-98381.85
-98650,-177538,-98376.85
-98645,-177529,-98371.85
-98640,-177520,-98366.85
-98635,-177511,-98361.85
-98630,-177502,-98356.85
-98625,-177493,-98351.85
-98620,-177484,-98346.85
-98615,-177475,-98341.85
-98610,-177466,-98336.85
-98605,-177457,-98331.85
-98600,-177448,-98326.85
-98595,-177439,-98321.85
-98590,-177430,-98316.85
-98585,-177421,-98311.85
-98580,-177412,-98306.85
-98575,-177403,-98301.85
-98570,-177394,-98296.85
-98565,-177385,-98291.85
-98560,-177376,-98286.85
-98555,-177367,-98281.85
-98550,-177358,-98276.85
-98545,-177349,-98271.85
-98540,-177340,-98266.85
-98535,-177331,-98261.85
-98530,-177322,-98256.85
-98525,-177313,-98251.85
-98520,-177304,-98246.85
-98515,-177295,-98241.85
-98510,-177286,-98236.85
-98505,-177277,-98231.85
-98500,-177268,-98226.85
-98495,-177259,-98221.85
-98490,-177250,-98216.85
-98485,-177241,-98211.85
-98480,-177232,-98206.85
-98475,-177223,-98201.85
-98470,-177214,-98196.85
-98465,-177205,-98191.85
-98460,-177196,-98186.85
-98455,-177187,-98181.85
-98450,-177178,-98176.85
-98445,-177169,-98171.85
-98440,-177160,-98166.85
-98435,-177151,-98161.85
-98430,-177142,-98156.85
-98425,-177133,-98151.85
-98420,-177124,-98146.85
-98415,-177115,-98141.85
-98410,-177106,-98136.85
-98405,-177097,-98131.85
-98400,-177088,-98126.85
-98395,-177079,-98121.85
-98390,-177070,-98116.85
-98385,-177061,-98111.85
-98380,-177052,-98106.85
-98375,-177043,-98101.85
-98370,-177034,-98096.85
-98365,-177025,-98091.85
-98360,-177016,-98086.85
-98355,-177007,-98081.85
-98350,-176998,-98076.85
-98345,-176989,-98071.85
-98340,-176980,-98066.85
-98335,-176971,-98061.85
-98330,-176962,-98056.85
-98325,-176953,-98051.85
-98320,-176944,-98046.85
-98315,-176935,-98041.85
-98310,-176926,-98036.85
-98305,-176917,-98031.85
-98300,-176908,-98026.85
-98295,-176899,-98021.85
-98290,-176890,-98016.85
-98285,-176881,-98011.85
-98280,-176872,-98006.85
-98275,-176863,-98001.85
-98270,-176854,-97996.85
-98265,-176845,-97991.85
-98260,-176836,-97986.85
-98255,-176827,-97981.85
-98250,-176818,-97976.85
-98245,-176809,-97971.85
-98240,-176800,-97966.85
-98235,-176791,-97961.85
-98230,-176782,-97956.85
-98225,-176773,-97951.85
-98220,-176764,-97946.85
-98215,-176755,-97941.85
-98210,-176746,-97936.85
-98205,-176737,-97931.85
-98200,-176728,-97926.85
-98195,-176719,-97921.85
-98190,-176710,-97916.85
-98185,-176701,-97911.85
-98180,-176692,-97906.85
-98175,-176683,-97901.85
-98170,-176674,-97896.85
-98165,-176665,-97891.85
-98160,-176656,-97886.85
-98155,-176647,-97881.85
-98150,-176638,-97876.85
-98145,-176629,-97871.85
-98140,-176620,-97866.85
-98135,-176611,-97861.85
