edad,trabajo,estado_civil ,educacion,total_hijos,credito_sin_pago,prestamo_vivienda,prestamo_personal,valor_prestamo,dias_ultimo_pago,tarjetas_credito,contacto,mes,dia_semana,duracion_ultimo_contacto,dias_ultimo_contacto,anterior_contacto,numero_empleados,si_no
44,2,1,2,7,-1,1,0,268017,0,5,1,8,44,210,43,0,88,0
53,10,1,8,1,0,0,0,0,0,0,1,11,55,138,0,0,14,0
28,5,2,7,3,0,1,0,308036,0,0,1,6,44,339,27,2,1993,1
39,8,1,5,1,0,0,0,0,0,4,1,4,55,185,0,0,1338,0
55,6,1,2,2,0,1,0,249888,0,4,1,8,55,137,2,1,1184,1
30,5,3,2,6,1,1,0,499476,75,1,1,7,22,68,90,0,1553,0
37,2,1,2,6,0,1,0,86520,0,5,1,5,44,204,66,0,442,0
39,2,3,6,4,0,1,0,176081,0,1,1,5,55,191,51,0,495,0
36,1,1,7,6,0,0,0,0,0,3,1,6,11,174,0,1,1097,1
27,2,2,2,3,0,1,0,323709,0,1,1,4,44,191,33,1,414,0
34,4,2,7,8,0,0,0,0,0,5,2,5,55,62,0,0,1600,0
41,5,1,7,2,0,1,0,429832,0,5,1,8,44,789,14,0,1630,0
55,5,1,7,7,0,0,0,0,0,4,1,8,11,372,0,0,1515,1
33,8,3,5,6,0,1,0,337531,0,1,1,5,22,75,76,0,388,0
26,1,1,5,4,0,0,1,93561,0,5,2,6,11,1021,23,0,858,0
52,8,1,5,3,-1,1,0,365643,0,2,1,7,44,117,54,0,1342,0
35,8,1,5,8,0,0,0,0,0,1,1,4,44,1034,0,0,1880,1
27,1,2,7,3,0,0,0,0,0,2,2,10,22,540,0,0,1972,1
28,2,1,6,7,-1,0,0,0,0,0,2,5,44,140,0,0,308,0
26,11,2,6,1,1,1,1,113637,45,1,1,7,11,104,28,0,286,0
41,11,1,6,2,1,1,0,123190,23,4,2,4,55,246,26,1,1600,0
35,2,2,8,8,1,0,1,363995,49,0,2,6,55,1114,21,0,20,0
40,1,1,7,0,1,1,0,449368,14,1,2,7,33,340,42,0,1891,0
32,10,2,4,2,0,0,0,0,0,1,1,7,44,35,0,0,1177,0
41,2,1,5,3,1,1,1,180508,83,4,1,7,44,241,21,0,14,0
34,3,2,7,1,1,1,0,321167,56,4,1,5,22,168,49,0,214,0
49,10,3,8,4,0,1,1,444410,0,5,1,10,44,81,87,0,1690,0
37,1,1,5,3,0,1,0,381297,0,5,1,4,44,226,15,1,1362,0
35,2,1,3,4,-1,1,0,120667,0,5,1,5,55,746,37,0,365,0
38,2,2,2,0,-1,0,0,0,0,3,2,7,22,41,0,0,1995,0
47,8,3,5,0,0,0,0,0,0,2,2,6,22,115,0,0,1851,0
46,1,1,7,2,0,0,0,0,0,5,1,5,44,227,0,0,539,0
27,10,1,4,5,0,1,0,299416,0,0,1,5,11,275,49,0,1652,0
29,10,1,5,2,0,1,0,207169,0,2,1,6,55,365,35,0,1673,1
32,8,3,6,0,-1,0,0,0,0,2,1,7,33,68,0,0,304,0
36,2,1,3,5,-1,0,0,0,0,3,1,5,33,54,0,2,872,0
29,2,1,2,3,0,1,1,70142,0,2,1,7,11,93,6,0,1934,0
47,10,1,5,4,-1,0,0,0,0,4,1,4,11,267,0,1,1664,0
44,2,1,2,2,0,1,0,93133,0,2,2,6,11,17,26,0,1683,0
54,5,1,7,7,0,1,1,110508,0,2,1,8,44,121,67,0,285,0
36,2,1,6,4,0,0,0,0,0,1,2,5,44,294,0,0,1833,0
42,2,1,2,6,0,1,0,252380,0,4,2,5,33,24,9,0,1349,0
44,2,1,2,1,0,0,0,0,0,2,1,7,22,345,0,0,1097,0
72,6,3,3,3,0,1,0,349026,0,3,1,11,33,244,81,0,1085,1
48,2,1,6,1,-1,0,0,0,0,2,1,8,22,213,0,0,239,0
36,5,1,5,2,-1,1,0,134584,0,0,1,11,44,371,41,0,120,0
35,4,1,2,8,0,1,0,491256,0,2,1,8,11,87,1,0,570,0
43,3,1,3,6,0,1,0,134335,0,5,1,5,11,195,70,1,16,0
56,6,1,2,6,-1,1,0,379441,0,0,1,8,33,102,15,0,623,0
42,2,1,6,0,-1,1,0,320511,0,5,2,6,55,93,2,0,1489,0
31,1,2,7,3,0,1,0,127311,0,5,1,5,11,244,43,0,146,0
32,10,1,6,7,-1,0,0,0,0,0,2,6,44,52,0,0,1555,0
33,2,1,5,6,-1,1,1,65679,0,2,1,5,11,164,43,1,338,0
31,2,1,3,2,-1,0,0,0,0,3,2,6,33,91,0,0,1324,0
39,5,1,7,4,0,1,0,292871,0,3,2,5,33,68,5,0,936,0
