id_client,internal_number_client,FK_id_person
3000,client0001,1542
3001,client0002,1543
3002,client0003,1544
3003,client0004,1545
3004,client0005,1546
3005,client0006,1547
3006,client0007,1548
3007,client0008,1549
3008,client0009,1550
3009,client0010,1551
3010,client0011,1552
3011,client0012,1553
3012,client0013,1554
3013,client0014,1555
3014,client0015,1556
3015,client0016,1557
3016,client0017,1558
3017,client0018,1559
3018,client0019,1560
3019,client0020,1561
3020,client0021,1562
3021,client0022,1563
3022,client0023,1564
3023,client0024,1565
3024,client0025,1566
3025,client0026,1567
3026,client0027,1568
3027,client0028,1569
3028,client0029,1570
3029,client0030,1571
3030,client0031,1572
3031,client0032,1573
3032,client0033,1574
3033,client0034,1575
3034,client0035,1576
3035,client0036,1577
3036,client0037,1578
3037,client0038,1579
3038,client0039,1580
3039,client0040,1581
3040,client0041,1582
3041,client0042,1583
3042,client0043,1584
3043,client0044,1585
3044,client0045,1586
3045,client0046,1587
3046,client0047,1588
3047,client0048,1589
3048,client0049,1590
3049,client0050,1591
