id_horario,Lunes,Martes,Miercoles,Jueves,Viernes,Sábado,Domingo
1,09:00 a 20:30,09:00 a 20:30,09:00 a 20:30,09:00 a 20:30,09:00 a 20:30,09:00 a 20:30,Cerrado
2,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,11:00 a 14:30
3,10:00 a 19:00,10:00 a 19:00,10:00 a 19:00,10:00 a 19:00,10:00 a 19:00,10:00 a 19:00,Cerrado
4,09:00 a 21:00,09:00 a 21:00,09:00 a 21:00,09:00 a 21:00,09:00 a 21:00,09:00 a 21:00,08:00 a 18:00
5,10:00 a 20:30,10:00 a 20:30,10:00 a 20:30,10:00 a 20:30,10:00 a 20:30,10:00 a 20:30,11:00 a 20:30
6,09:00 a 18:00,09:00 a 18:00,09:00 a 18:00,09:00 a 18:00,09:00 a 18:00,Cerrado,Cerrado
7,09:00 a 19:00,09:00 a 19:00,09:00 a 19:00,09:00 a 19:00,09:00 a 19:00,09:00 a 19:00,Cerrado
8,14:00 a 20:00,14:00 a 20:00,14:00 a 20:00,14:00 a 20:00,14:00 a 20:00,14:00 a 20:00,Cerrado
9,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario
10,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario
11,10:00 a 20:00,10:00 a 20:00,10:00 a 20:00,10:00 a 20:00,10:00 a 20:00,10:00 a 20:00,Cerrado
12,09:00 a 18:00,09:00 a 18:00,09:00 a 18:00,09:00 a 18:00,09:00 a 18:00,09:00 a 18:00,Cerrado
13,11:00 a 20:00,11:00 a 20:00,11:00 a 20:00,11:00 a 20:00,11:00 a 20:00,11:00 a 20:00,11:00 a 20:00
14,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario
15,09:00 a 20:00,09:00 a 20:00,09:00 a 20:00,09:00 a 20:00,09:00 a 20:00,09:00 a 20:00,09:00 a 20:00
16,09:30 a 18:00,09:30 a 18:00,09:30 a 18:00,09:30 a 18:00,09:30 a 18:00,09:30 a 18:00,Cerrado
17,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,Cerrado
18,09:00  a 19:00,09:00  a 19:00,09:00  a 19:00,09:00  a 19:00,09:00  a 19:00,09:00  a 19:00,09:00 a 17:00
19,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario
20,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario
21,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,10:00 a 19:30,Cerrado
22,05:00 a 19:00,05:00 a 19:00,05:00 a 19:00,05:00 a 19:00,05:00 a 19:00,05:00 a 19:00,Cerrado
23,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario,Sin horario
